spa|pbb
sacudirse (v.r)|jysaacuecue-
esconderse (v.r)|jysũutj- (fysũutj- T)
dar vuelta alrededor de (v.i)|jytandy-
adivinar(v.t)|jyta'ñi-
adivino (m)|jyta'ñisa
atrasarse (v.r)|jytẽeyũu-
desasíado (adv)|jytjaacue
desear (v.t)|jytjaas-, wẽje-
voluntad (f)|jytjãasni
demorar (v.i)|jytjẽeyuu-, tyachi-
ahorcarse (v.r)|jytjuuc-, ya'cy-
atragantarse (v.i)|jytu'cj-, putu-
estar encarcelado, detenido (v.i)|jytujnd-
famoso (adj)|jytujte
ceñir (v.t)|jytund-
cintura (f)|jytund yaj
cinturón (m)|jytundnisa
acortarse (v.i)|jytuw-, tuwúu-
compartir (v.t)|jytyunde-
repartir (v.t)|jytyunde-, (rep) jytyundende-
traer (v.t)|jyũ-, jyũna pa'j-, pe'jna pa'j-
todo (adj)|jyuca
del todo|jyucate
todos|jyucaysa
nudo (m)|jyũcj
amarrar nudo (v.t)|jyũcj-
desatar nudo (v.t)|jyũcjwende-
rodilla (f)|jyũcuet
largo (adj)|jyu'j
lejos (adv)|jyu'j
rumbo lejano|jyu'j dyi'j
tierra lejana|jyu'j quiwe
de tierra lejana|jyu'j quiwejuwe'sh
alargarse (v.r)|jyu'ja-
crecer (pelo) (v-i)|jyu'ja-
breve (adv)|jyu'jmeecue
lejano (adj)|jyu'juwe'sh
liso (adj)|jyu'nde
bola, forma de (adj)|jyũ'nzh
carirredondo (adj)|jyũ'nzhcuẽ
salvia (planta medicinal) (f)|jyutcjamb
maleza (f)|jyũtj
yerbatero (m)|jyũtj vissa
hierba (f)|jyutj, jyũtj
estirarse (v.r)|jyzuunz-
palma (f)|lamus
sombrero de palma|lamus chwa'
guatín (m)|lanzh, ñu'py le'chcue
flojo (mal atado) (adj)|lash, lacy, zuuna'mẽe
aflojar (v.t)|lashi- , lajcy-, nuylajcy-
durazno (m)|lashnu
lazo (m)|lasu
alisar (v.t)|lavi'j-, plavi'j-
liso (adj)|lavy
ponerse liso (v.i)|lavy-
resbaloso (adj)|lavy, sha'tyj (T)
lagartija (f)|lawẽch, quiwellill
chico (adj)|le'ch, le'chcue
pequeño (adj)|le'ch, le'chcuẽ
leche (f)|lechi
mermar (v.i)|le'chi-, tuwúu-
encogerse (tela) (v.i)|le'chi-, ũpj-, fiita-
hacer cosquillas (v.t)|lechíi-, quele'j-, cleechi'j-
cuajar (v.t)|lechi's cweeji'j-
leer (v.t)|lẽeī-
analfabeto (m)|lẽeya' jiimeesa
mojado (adj)|le'le, tyity, tũupja'ñi
ponerse amarillo (v.i)|lem yuu- , lemũu- shquiicy yuu-
amarillo (adj)|lem, lemtjẽ'j, shquiicy
anaranjado (adj)|lemlem bej
cojo (adj)|leng
cojear (v.i)|lengu-
colgante (adj)|lepja
libra (medida) (f)|libra
libro (m)|libru
rezar (v.r)|lisãa- (llisãa-)
rezandero (m)|lisasã, llisasã
naranja (f)|llima
naranjal (m)|llima ej
limón (m)|llimún
lindero (m)|lllnderu
limosna (f)|lmushnu
alguacil (m)|luasil, nuasel
cloquear (gallinas) (v.i)|lucjlucj jī-
moler (cosa aguada) (v.t)|lu'l-
lunes (m)|luñis
blando (adj)|lupe
ablandarse (vi)|lupe-
collareja (ave) (f)|lu'sumb
hamaca (f)|luuch deeñi wej (T)
infanticida (f)|luuch icjsa
criatura (f)|luuch le'chcue
muchacho (m)|luuch pijts, pitscuẽ, cuẽ
muchacha (f)|luuch u'y, wesacuẽ, wasacuẽ
niño (m)|luuch, luuch pijts, luuchcuẽ
niña (f)|luuch, luuch u'y, wasacuẽ
niñez (f)|luuchīi
loco (adj)|luucu
enloquecer (v.t)|luucu vit-
enloquecerse (v.i)|luucu yuu-
ablandar (v.t)|luupe'j-, nuylupe-
arroz (m)|luus
cual, ¿cuál? (pron)|maa
ninguno (pron)|maa yujva
alguien (pron)|maa, maava
de donde|maajũ
cualquier, cualquiera (pron)|maava
o...o (conj)|ma'c yuu...ma'c yuu
cuanto (distancia), ¿cuánto? (adv)|macjue
cuanto (cantidad), ¿cuánto? (adv)|macue
martes (m)|maltyis
mamá (f)|mama
bisabuela (f)|mama lula
abuela (f)|mama wala, mama lula, neepenzh
manga (corral para bestias) (m)|manga
potrero (m)|manga
cuanto, ¿cuánto? (adv)|manz, manzcuẽ
unos cuantos, pocos (pl)|manzcuẽe, manz manz, nanzcuẽ
amasar (v.t)|masaī-
mazo (m)|masu
comoquiera (adv)|ma'wẽva
manteca (f)|mdeegã
hígado (m)|me'cy
pulmón (m)|me'cy shũ, me'cy shwawa
estar ausente (v.i)|mee-
no (neg)|mee-
cucarachero (ave) (m)|meechica
higuillo (árbol) (m)|meeme
favor de… (m)|meen..., nuu...
por favor (imp)|meen..., nuu...
o, ó (conj)|meerra', meerrava
lomo de machete (m)|meetjacue
intestlno (m)|meetu'j
tripa (f)|meetu'j
gallinazo (ave) (m)|mẽewẽjy
viejo (usado) (adj)|mell
mellizo (m)|mellisu
canción (f)|mem
cantar (v.t)|mem-
torcer (lazo) (v.t)|me'm-
cancionero (m)|mem ets
hijo (menor de todos) (m)|men
cola (f)|menz
fingir ser partidario de (v.t) (fig)|menzu-
andar atrás de (v.i)|menzũ-
avispa (f)|menzucue, shita, ãnwẽse
mercado (m)|mercau
hongo (m)|meshish
hacer brujerías (v.i)|mestlãa-
cilantro (m)|me'sucue
mico (m)|micu
mono (animal) (m)|micu
miel (f)|mil
molino (m)|milinu
gato (m)|mish
gato montés (m)|mish jamby
maullar (v.i)|mish pembẽe-
alfarero (m)|mituj umsã
olla (f)|mityj
fabricar vasijas de barro (v.t)|mityj um-
fondo de la olla|mityj yuc
trabajar (v.t)|mjīi-
campo (de trabajo) (m)|mjīi ej
finca (f)|mjīi ej
días hábiles|mjīi en
trabajo (m)|mjīi, mjīini
obrero (m)|mjīisa
trabajador (m)|mjīisa
por qué? (motivo) (interrog)|mjīte, mjīya, quīj yuupa'ga
jigra tejida con agujas grandes|molta ya'ja
por donde|msuu
adonde, ¿adonde? (adv)|mtee, mcaa, mdyi i, msuu
donde, adonde, ¿dónde?, ¿adonde? (adv)|mtee, mgaa
dondequiera (adv)|mteeva, mtee mteeva
cortado (adj)|much
mocho (adj)|much
pantalones de liencillo (m.pl)|much
ensordecer (v.i)|much yuu-
guadua (f)|mujm
tarro de guadua (m)|mum tuca
guadual (m)|mum yu'cj
menudo (adj)|mush
huarango (árbol) (m)|mushclẽ
lulo (m)|mutcue
montón, montículo (m)|muts
formar chupo (v.i)|mutsu-
mote (m)|mutyi
desmenuzar (v.t)|muuse'j-
dar cambio (dinero) (v.t)|muushi'j-
hacinar (v.t)|muutsu'j-
amontonar (v.t)|muutsu'j-, cluuvi'j-
guambiano (indígena del Cauca) (m)|muuwe'sh
indígena guambiano (m,f)|muuwe'sh
mudarse (a otra casa) (v.i)|muvijty-
a (indica el lugar a que se encamina) (prep)|-na,-n
este, esta, esto (pron.dem)|naa
porque (causal) (conj)|naa pa'ga, tyãa pa'ga, cyãa pa'ga
sin embargo (conj)|naasã
amigo (m,f)|namicu
ser amigos (v.i)|namicu yuu-
tener amistad (v.i)|namicu yuu-
dueño (m)|namu
gente (f)|nasa
indígena páez (m,f)|nasa
páez (gente) (m,f)|nasa
persona (f)|nasa
hacer concebir (v.t)|nasa cji'pju'j-
vereda (f)|nasa dyi'j
asesino (m)|nasa icjsa
homicida (adj)|nasa icjsa
todo el mundo|nasa iisa
estar embarazada, encinta (v.i)|nasa ji'pj-
concebir (v.i)|nasa ji'pj neeyũu-
encinta (adj)|nasa ji'pja'
embarazada (encinta) (adj)|nasa ji'pjsa
cada persona|nasa lisa
desierto (m)|nasa u'pnimẽe quiwe
gente (páez)|nasa we'wesa
persona que habla páez|nasa we'wesa
idioma páez|nasa yuwe
páez (idioma) (m)|nasa yuwe
parto (m)|nasate ãtsã'a-
pero (conj)|nava, napa (T)
como, ¿cómo? (adv)|na'wẽ
como, lo mismo que (adv)|na'wẽ
parecer (v.r)|na'wẽ tjeng-
ser semejante a (v.i)|na'wẽ tjeng-
parecido (adj)|na'wẽ, na'wẽy
así (adv)|na'wẽ, tya'wẽ, cyã'wẽ
hijo (m)|nchi'c
hijastro (m)|nchi'c npaasa
hijo mayor|nchi'c ntjẽ'jsa
hijo menor|nchi'c nuuchsa
nuera (f)|ncuẽmiyũ
consuegra (f)|ncumale
consuegro (m)|ncumbale
despojar (v.t)|ncuusa'j-
sacar sin permiso|ncuutyi'j-
yerno (m)|nduj
hermano (respecto a la hermana) (m)|ndyiy, ndyi'sh
todavía (adv)|nee
hacer encargo (v.t)|neecaj-
mayor (él que manda) (m)|neej
traer (a alguien) (v.t)|neejyũj-
ahijado (m)|neenchi'c, iicjalu
apadrinar (v.t)|neeney yuju-
ser padrino (v.i)|neeney yuju-
ahijada (f)|neeniisa, iicjala
ser madrina (v.i)|neenjī'j yuju-
contagiar (v.t)|neesu-niipeetje-
expulsar (v.t)|neeuu-
ahuyentar (v.t)|neeúu-
persuadir (rogar quedar) (v.t)|neevisha-
encomendar (v.t)|neewe'we-
encomienda (f)|neewe'weni
quedar (v.i )|neeyũu-
nombrar gobernador|ne'jue'sh qui'p-
gobernador (del resguardo) (m)|ne'jue'sh, tutjensa (T)
sal (f)|nenga
sanco (m)|nenga cjash
terrón (de sal)|nenga cuet
caldo (m)|nenga yu'
salar (v.t)|nenga'j-
permanente (adj)|nes
permanecer (v.i)|nes yuu-
detener (v.t)|newe-
retener (v.t)|newe-
padre (m)|ney
padrastro (m)|ney npaasa
animal (m)|niimal
perjudicar (v.t)|niipeetje'j-
contagioso (adj)|niipeetjesa
hija (f)|niisa
hijastra (f)|niisa npaasa
hija mayor|niisa ntjẽ'jsa
hija menor|niisa nuuchsa
engordarse (v.r)|niishīi-(ñishi-)
gordo (adj)|nish
pulpa (f)|nish
entumirse (v.r)|nish dej- (lit. pulpa duerme)
mandadero (m)|nivychach
madre (f)|njī'j
madrastra (f)|njī'j npaasa
fin (m)|nmej
día final|nmej ente
último (adj)|nmej, nmejwe'sh
al fin|nmejte
postrero (adj)|nmejtewe'sh
esposo(m)|nmi'
marido (m)|nmi'
soltera (f)|nmi' ji'pjmeesa, imi'meesa
coger lo ajeno|npach-
trastear (v.t)|npeefynicy-
herir con golpes (a un animal en ausencia del dueño) (v.t)|npejcue-
hermana (respecto al hermano) (f)|npe'sh
jefe (m)|npiitstjẽ'j
persona que cohabita con otro|npi'qui
cuñado (entre hombres) (m)|ntsu'm
nieto, nieta (m,f)|ntsun
cuñada o cuñado (entre mujer y hombre)(m,f)|ntsu'wa
beber lo ajeno|ntundy-
tomar (sin permiso)|ntundy-, nuutundy-
cuñada (entre mujeres) (f)|ntyi'nsa
nueve (adj)|nueve
agredir (a un indefenso) (v.t)|nui-
pegarse a (v.r)|nuqui-
lluvia (f)|nus
hacer llover (v.t)|nus caapa'ja'j-, nus jyamby-
arreciar (la lluvia) (v.i)|nus chjãchja-
invierno (m)|nus en, nus pa'ja en
llovizna (f)|nus muse, nus wajwa, nus cu'ch
llover (v.i)|nus pa'j-, nus quīj-
lloviznar (v.i)|nus umbu'mbu-
hacer invierno (v.i)|nusũu-
comer lo ajeno|nũ'we-
líder (de un conjunto de flautistas) (m)|nuy i'nsa
hacer arder (v.t)|nuybej-
traer (desde abajo) (v.t)|nuycãj-, nuycũj-
aliviar (v.t)|nuycase-
sanar (v.t)|nuycatyji-
fortalecer (v.t)|nuychjãchja-
rebajar (precio) (v.t)|nuycjẽj-
permitir pasar el día (v.t)|nuyfi'nze-
guiar (v.t)|nuyi'j-
alargar (v.t)|nuyjyu'ja-
achicar (v.t)|nuyle'chi-
reducir (v.t)|nuyle'chi-
traer (llegando) (v.t)|nuypa'j-
mantener (v.t)|nuype'j-, nuyfi'nze-
hacer rendir más (v.t)|nuypejna-
traer (a través) (v.t)|nuypesa-
permitir amanecer (v.t)|nuype'te-
permitir fermentar (v.t)|nuypusu-
hacer florecer (v.t)|nuyquite-
traer (desde arriba) (v.t)|nuysẽj-, nuyquīj-
llevar (en procesión, alrededor de)|nuytandy-
ensanchar (v.t)|nuytape-, taape'j-
subir (v.t)|nuytejca-
criar (hijos) (v.t)|nuytjẽ'j-, nuywala-
acortar (v.t)|nuytuw-
hacer mermar (v.t)|nuyũuchi-
acabar con (v.t)|nuyvitu-
agrandar (v.t)|nuywala-
ampliar (v.t)|nuywala-
endurecer (v.t)|nuywejy-
criticar (v.t)|nuywe'we-
dejar (v.t)|nvijt-
hacer caso (v.t)|nwẽese'j-
obedecer (v.t)|nwẽese'j-
desobedecer (v.t)|nwẽese'jmẽe-
hacer caso omiso (v.t)|nwẽese'jmẽe-
tratarse como parientes (v.t)|nwe'sh we'we-
pariente (m,f)|nwe'sh, pwe'sh
amparar (v.t)|nwe'we-
defender (v.t)|nwe'we-
salvar (v.t)|nwe'we-, ewte nvijt-
defensor (m)|nwe'wesa
salvador (m)|nwe'wesa
hermana (entre hombres) (f)|nyacj
hermano (entre hombres) (m)|nyacj
al principio (adv)|nyafīi, nyafiitey
antes (adv)|nyafíia'
anteriormente (adv)|nyafiitey
primogénito (m,f)|nyafyte luuch, ne'sh, ne'shtjẽ'j
primero (de una serie) (adj)|nyafyte, cjuẽ'y, yatste
primero (m)|nyafytewe'sh
chuzar (en ausencia del dueño)|nyãja-
esposo (f)|nyu
soltero (m)|nyu ji'pjmeesa
suegro (m)|nyu neytjẽ'j, cajcatjẽ'j, ncaacatjẽ'j
suegra (f)|nyu njī'j, ntsuuts
novia (f)|nyuu yuuwa'jsa
yucal (m)|ña ej, yã ej
yuca (f)|ña, yã
desdentado (adj)|ñaña
curuba (planta) (f)|ñauñú
coral (culebra) (f)|ñavytu'c
tener 'sensaciones' en el cuerpo (v.i)|ñeese-
germinar (trigo) (v.i)|ñiñ acj-
pepita (f)|ñiñ, ñiñcuẽ
sala (f)|ñujne
dar fruto (v.i)|ñun-
fruta (f)|ñun, ũ'nisa
zorro perro (m)|ñunda alcu (T)
pajonal (m)|ñunda, yunda
aguja (f)|ñunz, yujnz
agutí (m)|ñu'py le'chcuẽ
guagua (m)|ñu'py wala
paca (animal) (f)|ñu'py wala
padecer (tristeza) (v.i)|ñus cnay-
diluvio (m)|ñus pa'jni īcj
escampar (v.impers)|ñus pīi-
condolerse (v.r)|ñus pu'ch-
aguacero (m)|ñus wala
tempestad (f)|ñus wejya dyi'j (lit. lluvia viento camino)
lamentar (v.t)|ñus we'we-
sentir triste (v.t)|ñus yajcy-
triste (adj)|ñus, yũs
caña de azúcar (f)|ñusha
dulce (adj)|ñusha
chicha de caña|ñusha beca
guarapo (m)|ñusha beca
guarapo (fermentado)|ñusha beca pus
bagazo (m)|ñusha cja'ty
moler caña (v.t)|ñusha cu'nd-
cañaduzal (m)|ñusha ej
miel de caña|ñusha mil
trapiche de mano|ñusha tel
endulzar (v.t)|ñusha'j-
tristemente (adv)|ñusñus, yũsyũs
agradable (a la vista) (adj)|ñuspa'
apetecible (adj)|ñuspa'
sabroso (a la vista)|ñuspa'
afligirse (v.r)|ñusu-
duelo (m)|ñusu en
tristeza (f)|ñusu en, ñuswa'ja'
moco (m)|ñuty
moquear (v.i )|ñutyji-
palo del telar (m)|ñuwe
ocho (adj)|ocho
hora (f)|ora
negar (v.t)|paaná-
posada (f)|paandee yat, pa'j yat
huésped (m)|paandeesa
hospedarse (v.r)|paandej-
pernoctar (v.i)|paandej-
pagar (deuda ajena) (v.t)|paandewe-
panderé (árbol) (m)|paandlẽ
entregar (haciendo un favor)|paanducj-
intervenir (v.t)|paanwe'we-
consultar (v.t)|paapẽjy-
preguntar (v.t)|paapẽjy-
pregunta (f)|paapẽyni
aparar (v.t)|paatj
poner (freno, alpargatas) (v.t)|paatj-
cuidar de (en ausencia del dueño) (v.t)|paatjeng-
vigilar (v.t)|paatjeng-
secretamente (adv)|paatste
ocultarse (v.r)|paatsũu-
tomar (participar con otro)|paatundy-
presentar queja (v.t)|pãatyjī'cj-
quejarse (presentar queja) (v.t)|pãatyjī'cj-
participar en la molienda (v.t)|paaũ'cj-
acompañar (ir voluntariamente) (v.i)|paau'j-
compartir tristeza de otro (v.t)|paaũ'ne-, paayũs-
desconocer (v.t)|paaunu-
acercarse (voluntariamente) (v.i)|paautyáa-
morir en lugar de otro (v.i)|paauu-
miedoso (adj)|paaũucjsa, paaũucjtjẽ'j
tímido (adj)|paaũucjsa, paayũucjsa
compartir comida de otro (v.t)|paaũ'we-
encargar (v.t)|paawe'we-
encargo (m)|paawe'weni, neecaawa'j
entregarse voluntariamente (v.t)|paaya'ducj-
acompañar (venir voluntariamente) (v.i)|paayuu-
timidez (f)|paayũucjweete
coger (con las uñas) (v.t)|pach-
cobijarse (v.r)|pa'ch- (pã'ch-)
rasguñar (v.t)|pach-, (rep) pachi'chi-
taparse (v.r)|pã'ch-, ya'pã'ch-
agarrar (con las uñas) (v.t)|pachíi-
arañar (v.t)|pachīi-
pañolón (m)|pa'chnisa
sarapanga (semilla que vuelve a dar después de cosechado) (f)|pã'cj
remendar (v.t)|pa'cj- (pã'cj-), pjulaī-
trama (hilo horizontal del telar) (f)|pacjẽ
buscar (v.t)|pacue-
servir comida (v.t)|pa'cy-, (rep) pa'qui'cy-, puuts-, (rep) puutsuts-
costo (m)|pa'ga
precio (m)|pa'ga
por (prep)|-pa'ga
ponerse caro (v.i)|pa'ga yuu-
barato (adj)|pa'gamẽe
por (en lugar de) (prep)|pa'gate
mirar (hacia arriba) (v.t)|pagay- (pacay-), (rep) pagayu'yu-
hasta (indica lugar) (prep)|pa'j
llegar (v.i)|pa'j-, iipa'j-
quitar (v.t)|pajnde-
zafar (v.t)|pajnde-, (rep) pandende-
cuatro (adj)|pajnz
cuarto (adj)|pajnztewe'sh
llegada (f)|pa'jwa'j, pa'jni
ahuyentar (pájaros) (v.t)|pajy-
visitar (v.t)|pa'jya' yuj-, visitaī-
insinuar (v.t)|pa'jywe'we-
sacerdote (m)|pal
cura (sacerdote católico) (m)|pal, amo (T)
barretón (m)|paletũn, pleetũn (T)
barsino (adj)|palsin
viga transversal (f)|pand
barrer (v.t)|pand-
lastimarse (v.r)|pang-
banca (f)|pangu
hacer pan (v.t)|panu'j-
pegar (con palo) (v.t)|pãpa-
pulga (f)|pã'pa
bisabuelo (m)|papa lul
dar paliza (v.t)|papa-, pecue-, (rep) pecue'cue-
afanarse (v.r)|pa'pchu-
procurar (v.t)|pa'pchu-
comprometerse (v.t)|pas-
contestar (v.t)|pas-
pasear (v.i)|pasiãa-
pasto (m)|pastu
zafarse (v.i)|patee-, atsjute-, jypajnde-, yaatsjunde-
canuto (m)|patj
derecha, a la derecha (f)|patste, patsu
mano derecha (f)|patsu cuse
sancochar (v.t)|patyji-
patio (m)|patyu
llamar (v.t)|pa'ya-
papaya (f)|payãa
gobernador (del Depto. de Cauca)|Payaate ne'jue'sh
juguetón (m)|paypwesa
bayo (adj)|payu
bayo cariblanco|payu pjeelu
tío con sobrino o sobrina|pcaaca
hasta (indica tiempo) (prep)|-pcach
mientras (adv)|-pcachja'
pecado (m)|pcal
pecador (m.f)|pcalsa
regar (cosa molida)|pcamb-
urdir (preparar los hilos para tejer) (v.t)|pcamb-
urdimbre (hilos del telar) (f)|pcambnisa
derramar (v.t)|pcaw-
parásito (bromeliácea, crece en los árboles) (m)|pcha'cy
pechanga (planta) (f)|pchanga
verbena, escoba babosa (planta) (f)|pchanga
atrancar (atravesado) (v.t)|pchatj-
poner atravesado (v.t)|pchatj-, paand-
mecha (f)|pchī'
pavesa (f)|pchī'
chlspa (f)|pchī', ipy pchī'
hijo con el padre o la madre|pchi'c
lavar la cara (v.t)|pchjī'chi-
reunirse (v.r)|pcjaacje-
juntarse (v.r)|pcjaacje-, peecjacje-
reunión (f)|pcjaacjeni
recoger (v.t)|pcjacj-
juntar (v.t)|pcjacj-, utya-
lavar (loza) (v.it)|pcji'cj-
mal tratar (v.t)|pcyuu-
agredir (v.t)|pcyuu-, (recip) puuty ya'pcyuu-
maltrato (m)|pcyuuni
verdugo (m)|pcyuusã
amante (hombre) (m)|pdeepits
fornicador (m)|pdeepits
amante (mujer) (f)|pdeeu'y
fornicadora (f)|pdeeu'y
encarar (v.i)|pdyi'pu-
enfrentar (v.t)|pdyi'pu-
regar (granos)|peãsh-
olvidar (v.t)|pechcanu-
olvido, olvidado (m)|pechcanuni
pecho (m)|pechu
pegar (v.t)|pecue-
paliza (f)|pecueni
alrededor (adv)|pecu'j
andar de un lugar a otro (v.i)|pecu'j-
alumbrar (v.t)|peecjicj-
metamorfosear (v.t)|peecupy-
postrado (adv)|peecy tuty
hogar (m)|peecy yat
propio (adj)|peecy, peecy jīi
boca abajo (adv)|peecytuty, pquipja, teecjẽe.
trasladar (v.t)|peefynicy-
necesidad (f)|peejini, jypeejini
arrodillarse (v.r)|peejyũcue-
repetidamente (adv)|peena
repetir (v.t)|peena-, (rep) peenana-
disimular (v.t)|peenda-
ocultar (v.t)|peenda-
hacer rayas (v.t)|peendu'j-
almohada (f)|peendyiqui
poner la mano encina de (v.t)|peequinze-
obsequiar (v.t)|pees-
regalar (v.t)|pees-, (rep) peesu's-
promover un asunto (v.t)|peescatyjí'-
regalo (m)|peesni
pareja (macho y hembra) (f)|peetam, ptam
estar apretado (v.t)|peetenzu-
estrecharse (v.r)|peetenzũ-
condimentar (v.i)|peetje-
dar sabor (v.i)|peetje-
mejicano (planta) (m)|peetjẽ
penetrar (v.t)|peetjee-
espiar (v.t)|peetjengu-
condimento (m)|peetjenisa
hoja de mejicano (planta) (f)|peets tyja'
adelgazar (v.t)|peetsu'j-
rematar (un trabajo) (v.t)|peetsu'j-
tía (hermana del papá) (f)|peetsujts, ntsuuts
rehusar dar o gastar (v.t)|peevisha-
compadecer (v.t)|peeygãj-
amor (m)|peeygãmni, peeygãaweete, peeygãawa'j
tía (hermana de la mamá) (f)|peeyũucue, njī'yacue
abundar (v.i )|pej na-
realmente (adv)|pejca
siempre (con seguridad)|pejca
lograr (v.t)|pejca ewuu-
rendir (v.t)|pejna-
guía (m)|pe'jna u'jsa
nadar (v.i)|pejnd-
llevar (v.t)|pe'jrra u'j-, jyũna u'j-
dar bofetada (v.t)|pejtya-, (rep) petyaatya-
faltar (v.i )|pejy-
necesitar (v.t)|pejy-, jypeejy-
hacer falta (v.t)|pejy-, jypejy-
carrizo (m)|pel
trozo (m)|pe'la
pedazo (m)|pe'la, pe'lacue
despedazar (v.t)|pe'lande-, pe'ltende-
partir (en pedazos) (v.t)|pe'lande-, pe'ltende-
despedazarse (v.r)|pe'late-, pe'ltete-
alpargata (f)|pelgatyi
perdonar (v.t)|peltunaī-
despeñarse (v.r)|pelu-
rodar (caer dando vueltas) (v.t)|pelu-, (rep) peíuulu-
revolcarse (v.r)|peluulu-
acabar (comestible, medicina) (v.t)|pemba- (pamba-)
destructivo (adj)|pembasã
cacarear (gallina) (v.i)|pembẽe-
chillar (v.i)|pembẽe-
gemir (v.i)|pembẽe-
quejarse (emitir quejidos) (v.r)|pembẽe-, tũchj-
aullar (v.i)|pembẽe-, ũ'ne-
curar olla (v.t)|peme'j-
raya (f)|pend
sepultar (v.t)|penda-
enterrar (v.t)|pendãa-
tumba (f)|pendani
sepulcro (m)|pendani cafy
anciana (f)|penzh
vieja (adj)|penzh, penzhcuẽ
envejecerse (mujer) (v.r)|penzhīi-, tjẽ'je-
barranco (m)|peñacjẽ
cerebro (m)|pe'pe
seso (m)|pe'pe
robusto (adj)|pepy
a través (adv)|pesa'j, jypeesa'j
pasar (desplazarse) (v.t)|pesaja-
atravesado (p.p)|pesatj
horizontal (adj)|pesatj
longitud (f)|pesatj jyu'j
mirar (al otro lado) (v.t)|pesay-, (rep) pesayu'yu-
fiscal (m)|pescal
peso (moneda) (m)|pesu
ladrón (m)|peswẽe
robar (v.t)|peswẽe-, tse'- (J)
usado (adj)|pete
amanecer (v.i)|pe'te-
pender (v.i )|pẽ'tje-
trocha (f)|pẽ'tjñi (T)
sudor (m)|pẽ'ts
hacer pedazos (v.t)|petsate-, petstende-, petstete-
mascar (v.t)|pe'tse-
masticar (v.t)|pe'tse-
hender (v.t)|petsete-
astillarse (v.r)|petsjate-
rajar (v.t)|pẽtsju-, (rep) pẽtsjutsju-
rociar (v.t)|pẽ'tsjutsj-
sudar (v.i)|pẽ'tsu-
inclusive (conj)|pety
garganta (f)|pẽty
pedernal (m)|pety cuet, ipy cutyi'jni cuet
bocio (m)|pẽty shiwa
coto (bocio) (m)|pẽty shiwa
pegar (con la nano) (v.t)|petya-
sacar muesca (v.t)|petyi'j-
tumbar (v.t)|pẽtyj-
ronco (adj)|pẽtyj se'seni, pẽtyj apjani, pẽtyj ujndy
vena yugular (f)|pẽtyj watse
bañarse (v.r)|pẽw-
pedido (m)|pẽyni
pico (herramienta para cavar) (m)|pica
viga (f)|picas
anguilla (ave) (f)|pichga
casa de la minga|pi'cy yat
invitar (v.t)|pi'cy-, (rep) pi'qui'cy-, jypi'cy-
convidar (v.t)|pi'cy-, jypi'cy-
acompañar (v.t)|pi'cyna u'j-
acompañante (m,f)|pi'cyna u'jusa, paau'jsa
matón (m)|piicje
pepino (m)|piinãa
tallar (v.t)|piisa-
dibujo (m)|piisani
imagen (f)|piisanisa
oveja (f)|piishã
esquilar (v.t)|piisha cjas waca-
corral (de ovejas) (m)|piishãa cyuupjni
pastor (m)|piishãa tjengsa
sonarse las narices (v.r)|pīitsju-
macho (adj)|pijts
canilla (f)|pil, chinda pil
pantorrilla (f)|pil, pil tuty, chinda tuty
picadura (caries) (f)|pinzh
roble (m)|pinzh
hacer muescas (v.t)|pinzhi'j
aliso (árbol) (m)|pinzú
paja brava (planta) (f)|pi'py
junco (planta) (m)|pi'py , pi'pi
indígena pijao (m,f)|pi'pyshavy
Pijao (tribu indígena) (m)|pi'pyshavy
compañero (m,f)|pi'qui
rayo (m)|pi'sh, cpi'sh, amwe'sh, ipywe'sh, ẽegatjẽ'j
pisón (para desgranar trigo) (m)|pisũn
concuñado (m)|pits pyacj
joven (hombre) (m)|pitstacy
varón (joven)|pitstacy
hombre (m)|pitstjẽ'j
varón (m)|pitstjẽ'j
peón (m)|piun
aprender (v.t)|piyãa-
henderse (v.r)|pjaate-, pjaatete-
empapar (v.t)|pjach-
toser (v.i)|pjãja-
abrir (v.t)|pjande-
destapar (v.t)|pjande-
abierto (p. p)|pjanden i
abrirse (v.r)|pjate-
estar abierto (v.i)|pjaterra u'p-
careto (adj)|pjeelu
alistar (v.t)|pjeu'j-
arreglar (v.t)|pjeu'j-
componer (v.t)|pjeu'j-
preparar (v.t)|pjeu'j-
encontrar (algo que otro ha perdido) (v.t)|pjiw-
proteger (v.t)|pjupj-
renovar (v.t)|pju'se'j-
pilar (v.t)|plaaī-
cocer maíz con ceniza (v.t)|plaaīi-
planchar (v.t)|planchaī-
platanal (m)|pland ej
racimo (de plátano) (m)|pland pjapj
cincho (del plátano) (m)|pland sinzha
plátano (m)|pland, tlu (T)
pilado (maíz sin cáscara) (p.p)|playni
soledad (ave) (f)|pleecu'c
freno (m)|plenu
ácido (adj)|pllana'
sombra de una persona|pnaasa
padre con hijo u hija|pney
hija con el padre o la madre|pniisa
madre con hijo u hija|pnjī‘j
tía con sobrino o sobrina|pnjī'yacue
producir (v.i)|pquīij-
derretirse (v.i)|pquiivy-, yu'a-, yu'wa-
emprestar (v.t)|pqui'j-
prestar (v.t)|pqui'j-
morder (culebra)|pqui'se- (T)
encender (v.t)|pqui'ta- (fyqui'ta-)
lámpara (f)|pqui'tanisa
preso (m)|preesu, jytundsa
tomar preso (v.t)|preesu'j-
primo, prima (m,f)|primo, pucacje nyacj
abrazar (v.t)|psha'nd-
risueño (adj)|pshiica
